Row	GLC_CHEM_mu=0.11_V	GLC_CHEM_mu=0.12_S	GLC_CHEM_mu=0.20_S	GLC_CHEM_mu=0.21_P	GLC_CHEM_mu=0.21_V	GLC_CHEM_mu=0.22_P	GLC_CHEM_mu=0.26_P	GAL_BATCH_mu=0.26_S	ACE_BATCH_mu=0.3_S	GLC_CHEM_mu=0.31_P	GLC_CHEM_mu=0.31_V	GLC_CHEM_mu=0.35_S	GLC_CHEM_mu=0.36_P	GLC_CHEM_mu=0.40_V	PYR_BATCH_mu=0.40_S	GLC_CHEM_mu=0.41_P	FUM_BATCH_mu=0.42_S	SUCC_BATCH_mu=0.44_S	GLC_CHEM_mu=0.46_P	GAM_BATCH_mu=0.46_S	GLYC_BATCH_mu=0.47_S	MAN_BATCH_mu=0.47_S	GLC_CHEM_mu=0.49_V	GLC_CHEM_mu=0.50_S	GLC_CHEM_mu=0.51_P	GLC+SALTS_BATCH_mu=0.55_S	XYL_BATCH_mu=0.55_S	GLC_BATCH_mu=0.58_S	GLC@pH6_BATCH_mu=0.63_S	FRU_BATCH_mu=0.65_S	GLC@42deg_BATCH_mu=0.66_S
P0A9F9	NaN	1.11126336724897e-07	8.71395861532335e-08	NaN	NaN	NaN	NaN	1.0614880638766e-07	1.82090453751659e-07	NaN	NaN	8.33414420593807e-08	NaN	NaN	9.35738841682261e-08	NaN	1.50026977439475e-07	9.35003944964566e-08	NaN	5.95573813800696e-08	5.35977438698636e-08	9.27667921104645e-08	NaN	7.75928291589673e-08	NaN	NaN	9.10257405718417e-08	8.00503077808732e-08	5.8150633846468e-08	7.19770863191062e-08	NaN
P25665	3.16307001582398e-05	1.12383791078496e-05	2.00677241438768e-05	7.04612668261729e-05	5.46232768492701e-05	6.75932684575853e-05	8.71938608666699e-05	2.65475842343481e-05	3.80970071772094e-05	0.000112892739802313	9.43692823114005e-05	2.78176750809793e-05	0.000135660664324332	0.000144792955590658	3.75246371322959e-05	0.000165004319204926	3.90647427242883e-05	3.7418530216525e-05	0.000184424449134481	4.60523370275486e-05	5.49091541015415e-05	5.0783366747229e-05	0.000118593274410779	5.0895471164431e-05	0.000193064126221942	5.43033921609425e-05	5.91391549188866e-05	9.13973060231749e-05	4.42118616528646e-05	6.604014968289e-05	5.46452052839296e-05
P56262	3.45558149466799e-06	2.31355181059982e-06	2.75365446804325e-06	NaN	3.44058632501745e-06	2.76601482061018e-06	2.4033106721821e-06	2.63703052539675e-06	3.15108591299429e-06	2.43476266953504e-06	3.53126181397806e-06	2.45717827511728e-06	2.02663522559955e-06	3.10576129530387e-06	1.89718081308765e-06	2.26089079919983e-06	2.36437603373121e-06	2.31426153737183e-06	1.76337736624948e-06	2.04192894987625e-06	2.12690791001079e-06	2.92883460909926e-06	2.25677303240523e-06	2.57726789369215e-06	1.27633219737068e-06	2.64726732734989e-06	1.26276346862245e-06	1.20754064324698e-06	1.93617910804808e-06	1.63614423069966e-06	1.306513509009e-06
P12758	3.55195313532135e-05	1.64135135407385e-05	1.32806583761672e-05	2.2526418154396e-05	3.21998624532639e-05	2.1932644963923e-05	1.72732668160177e-05	7.44177814906403e-06	6.79320127979155e-06	1.55526165862201e-05	1.90333487096772e-05	9.82424725715876e-06	1.3863866326625e-05	1.69037830224953e-05	5.29603225988983e-06	1.17277303700483e-05	7.37366844551165e-06	5.13743125029561e-06	9.56190725012285e-06	5.81107957736372e-06	6.21251601678502e-06	4.77774710860437e-06	1.30824804103102e-05	7.44447825776841e-06	8.97029886564575e-06	5.71207713933991e-06	4.56665337116534e-06	3.05833636041706e-06	6.80616588886407e-06	4.15568224755246e-06	7.38841882847508e-06
P0AG71	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P0A887	3.36203780211651e-06	1.42353472957578e-06	1.5007265650832e-06	4.13107477519894e-06	3.72016069608578e-06	4.15939704768328e-06	3.88579782351299e-06	1.36773033026743e-06	1.25043612689848e-06	4.26075932832029e-06	3.40380287194853e-06	1.60424413564114e-06	4.62326800161838e-06	3.3182096384735e-06	1.63541949589948e-06	4.29798974198076e-06	1.58262315419349e-06	1.63621789643121e-06	4.28960256348125e-06	1.59074481463581e-06	1.48771859967086e-06	1.29526610327897e-06	3.35615043685103e-06	1.49996591102723e-06	4.36803712416063e-06	1.00694632888181e-06	1.36300540761557e-06	1.64631129882147e-06	1.11068397600491e-06	1.42104596116833e-06	1.71048679705836e-06
P0ADP7	4.08995768186353e-07	1.76462054718301e-07	1.59836547949587e-07	NaN	NaN	NaN	NaN	NaN	8.49740865518976e-08	NaN	NaN	1.33346307295009e-07	NaN	3.48914450861733e-07	8.10141716018735e-08	NaN	5.98087210999306e-08	NaN	NaN	5.89235878987596e-08	6.01354487586841e-08	6.50911434265947e-08	3.80816925890049e-07	1.33561427240845e-07	NaN	NaN	NaN	7.22543504051352e-08	NaN	5.05403584380497e-08	NaN
P0A6A0	5.33787784069984e-07	NaN	NaN	NaN	5.31473093452788e-07	NaN	NaN	NaN	NaN	NaN	5.63174291036129e-07	NaN	NaN	4.94035488687698e-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.76071476723804e-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P69428	1.7988668450903e-06	3.08192845678654e-06	2.94992416889311e-06	2.56654221405538e-06	1.79086606665259e-06	2.67219365917953e-06	2.70181556799506e-06	3.15682269635855e-06	2.12944973387123e-06	2.67400653761983e-06	2.00814506850159e-06	2.80211749644078e-06	2.80565873725502e-06	1.68071698489079e-06	3.6105953189144e-06	2.6035725535331e-06	3.27739508948891e-06	2.81105795969426e-06	2.7503227145201e-06	3.93804698732506e-06	3.42976003820448e-06	3.17616189375621e-06	1.48024464969709e-06	2.96783218491926e-06	2.54233206588911e-06	4.29956397308164e-06	3.23400190081594e-06	4.38875192275664e-06	4.06434461177533e-06	3.32364480947916e-06	4.48919622196233e-06
P69425	4.78285528618514e-07	9.21771246356066e-07	8.96023318140884e-07	NaN	9.52193272808852e-07	3.17098921265374e-07	NaN	1.34696505540137e-06	9.6501595873266e-07	5.14662666754677e-07	4.66561117448802e-07	1.03894804487258e-06	NaN	4.57755229231207e-07	1.36365468969613e-06	NaN	1.25416055206138e-06	1.21094127941093e-06	NaN	1.25487268126765e-06	1.1153362661056e-06	1.29168275482678e-06	3.43630917931176e-07	9.41084291745054e-07	NaN	1.70099280177375e-06	1.23543951439888e-06	1.14729915443446e-06	1.36155948079794e-06	1.11608683233545e-06	1.32515531263742e-06
