Row	GLC_CHEM_mu=0.11_V	GLC_CHEM_mu=0.12_S	GLC_CHEM_mu=0.20_S	GLC_CHEM_mu=0.21_P	GLC_CHEM_mu=0.21_V	GLC_CHEM_mu=0.22_P	GLC_CHEM_mu=0.26_P	GAL_BATCH_mu=0.26_S	ACE_BATCH_mu=0.3_S	GLC_CHEM_mu=0.31_P	GLC_CHEM_mu=0.31_V	GLC_CHEM_mu=0.35_S	GLC_CHEM_mu=0.36_P	GLC_CHEM_mu=0.40_V	PYR_BATCH_mu=0.40_S	GLC_CHEM_mu=0.41_P	FUM_BATCH_mu=0.42_S	SUCC_BATCH_mu=0.44_S	GLC_CHEM_mu=0.46_P	GAM_BATCH_mu=0.46_S	GLYC_BATCH_mu=0.47_S	MAN_BATCH_mu=0.47_S	GLC_CHEM_mu=0.49_V	GLC_CHEM_mu=0.50_S	GLC_CHEM_mu=0.51_P	GLC+SALTS_BATCH_mu=0.55_S	XYL_BATCH_mu=0.55_S	GLC_BATCH_mu=0.58_S	GLC@pH6_BATCH_mu=0.63_S	FRU_BATCH_mu=0.65_S	GLC@42deg_BATCH_mu=0.66_S
P00904	1.09525121682384e-06	1.71541350866183e-06	1.86747729414567e-06	1.44451598714609e-06	9.46658143072078e-07	1.43551621036997e-06	1.41939664665609e-06	1.44416566768557e-06	1.14529053988293e-06	1.53149941333585e-06	9.74283472394705e-07	1.81994646417118e-06	1.5591140279385e-06	1.61333936018588e-06	1.99606842180318e-06	1.75336377136701e-06	1.28472857347814e-06	1.17946242319122e-06	1.93802735610031e-06	1.87885196654888e-06	2.09837454494209e-06	1.56573266996224e-06	1.59774035820043e-06	2.55584942951977e-06	2.09821226312887e-06	1.10524042163325e-06	1.20982894344346e-06	1.81684786641574e-06	1.17043177729016e-06	2.22977669509815e-06	2.40740995027944e-06
P00895	4.60975668350785e-07	2.09177584688813e-06	2.12345285247087e-06	1.55902285973041e-06	5.34240658321174e-07	1.55390219994324e-06	1.61266242455622e-06	1.86361511240318e-06	1.02030162215095e-06	1.63320060737973e-06	3.65872075600759e-07	2.28846165014826e-06	1.71400523808509e-06	6.80569360816981e-07	1.9943776912654e-06	1.9887074317341e-06	1.4400846486241e-06	1.53358980384874e-06	2.19192429130389e-06	1.84552979412243e-06	2.51146981624065e-06	1.63534111968228e-06	6.3674119717398e-07	2.91349101599284e-06	2.44239633767453e-06	1.30749178972769e-06	1.41346905376576e-06	1.93125354090469e-06	1.39192283597826e-06	2.50301422660665e-06	2.34275463678918e-06
P77766	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P0AFR4	3.18873792199424e-06	2.10276665473866e-06	1.76478225160806e-06	1.99417524681028e-06	2.63512430959435e-06	2.12380759972273e-06	1.85615177079214e-06	2.21799092163045e-06	1.58232513127343e-06	1.96668067390774e-06	2.08422794270161e-06	1.3597968720008e-06	1.63908042097361e-06	1.82060480914744e-06	1.43106250601779e-06	1.575280241913e-06	1.47322807041946e-06	1.26477129376433e-06	1.49581083853476e-06	1.72733691278965e-06	1.54966478301974e-06	1.50102273381779e-06	1.85215504864706e-06	1.46618272648984e-06	1.46339160577529e-06	2.22054471551519e-06	1.5581687796639e-06	1.25075505242749e-06	2.11987053735163e-06	1.31631029068841e-06	1.34477648638401e-06
P37765	6.27331476621464e-07	2.42724708313557e-07	2.4961306216798e-07	9.96395781324647e-07	7.61180977528907e-07	1.19554381129642e-06	1.25261714002094e-06	1.2702792596241e-07	1.39887824256651e-07	1.29639407266834e-06	8.09839799851274e-07	2.44300498836705e-07	1.3908764904854e-06	7.75572314844519e-07	1.2137029931908e-07	1.4194915129704e-06	1.79168623261932e-07	1.51913761521256e-07	1.42662153540819e-06	2.15432166056189e-07	1.49376073509289e-07	1.48880504042498e-07	7.5871532882798e-07	2.86970007745351e-07	1.57716472807561e-06	1.31191051499817e-07	1.93071240899854e-07	2.01631806672496e-07	1.69660399223053e-07	1.85977639190133e-07	1.84273553439336e-07
P0A9H5	NaN	1.99450057644233e-07	2.79877254915813e-07	NaN	NaN	NaN	NaN	3.80241327042885e-07	2.72993473737018e-07	NaN	NaN	2.6503626894909e-07	NaN	NaN	3.77274442858513e-07	NaN	2.87909951555247e-07	3.38075894493446e-07	NaN	2.56628742341338e-07	7.49339154516294e-07	3.84237880040036e-07	NaN	2.20077057631449e-07	NaN	1.93071240899854e-07	2.35635288403232e-07	2.91692832447214e-07	1.42663117354581e-07	3.87085086321693e-07	1.36250646266105e-07
P31808	NaN	4.41433217476308e-07	4.26384010536019e-07	7.94294781838205e-07	NaN	NaN	NaN	4.84545849149678e-07	3.04147721741627e-07	9.20347029967133e-07	NaN	3.93979632135301e-07	NaN	NaN	4.44199193312235e-07	6.36227885196448e-07	3.65211584457509e-07	3.34214176072441e-07	NaN	4.05954327710587e-07	4.67283886455753e-07	4.24436187942433e-07	NaN	3.63122468571329e-07	4.71862777830118e-07	5.78961224112679e-07	5.13816588696492e-07	5.65472681015176e-07	6.20078790803477e-07	4.745149764821e-07	7.45537059603551e-07
P0AG14	3.15401756273629e-07	7.3940328766025e-07	6.63320464390758e-07	9.60877842424234e-07	3.34925668436068e-07	1.08235082941434e-06	9.89633213288994e-07	5.483899617861e-07	5.87817651255506e-07	1.13076708311203e-06	3.96717844042963e-07	7.32524101300791e-07	1.27107445948722e-06	3.90377604526295e-07	7.15601700114636e-07	1.41585688225937e-06	5.98423994125738e-07	6.76639379696615e-07	1.52984148066286e-06	7.50123393924985e-07	7.77300708661774e-07	7.39484946272795e-07	4.120652492222e-07	9.39213683520392e-07	1.49377620849342e-06	7.95208228165855e-07	1.09037907623377e-06	7.32571940130142e-07	8.42239629385258e-07	1.05250763941304e-06	8.86937841835843e-07
P0AB61	3.28922568639731e-06	1.05119794024896e-06	9.81348504249282e-07	2.65727980389886e-06	2.93407163474139e-06	3.07290709877393e-06	NaN	1.53483159369065e-06	1.09704958703871e-06	2.35069234098966e-06	2.81184590628117e-06	9.67892913516793e-07	2.34278190402905e-06	2.63592941937425e-06	1.23687002710726e-06	1.97770052654437e-06	1.13711851024012e-06	1.35731601046973e-06	1.73488316245994e-06	1.8096340360446e-06	1.49930730104813e-06	1.22813550089288e-06	3.03481099595068e-06	9.4647164343208e-07	1.68872133546372e-06	2.93351054681011e-06	1.6489600572622e-06	1.20426279753218e-06	1.89700557118931e-06	1.64121016639241e-06	2.26798479397516e-06
P06612	2.2494264056637e-06	1.03716148684948e-06	9.01006870264028e-07	1.18650831950829e-06	2.06767287285254e-06	1.03940350135874e-06	1.13626767195506e-06	5.17355894195714e-07	4.49176872038365e-07	1.0603812355085e-06	1.97734961942063e-06	8.27690593252371e-07	1.04806043679211e-06	1.77395876127481e-06	5.4258360841533e-07	1.12892921499054e-06	5.85764910726316e-07	6.57896392814868e-07	1.08278718066823e-06	6.86033428860396e-07	6.46012920690358e-07	6.67303347398266e-07	1.89527874123265e-06	7.59990709515555e-07	1.14497271526356e-06	4.72803603941119e-07	7.06130333835693e-07	6.2846047299415e-07	5.5294623684428e-07	6.9663415688962e-07	6.61260572366703e-07
P0A9F3	7.6596131684703e-07	6.35374629258106e-07	6.36104463718246e-07	9.66076853681674e-07	8.4425824294176e-07	1.04876711418796e-06	1.11476102141695e-06	6.34001182725097e-07	6.63427961019501e-07	1.14451010963688e-06	9.90737903521296e-07	6.97069918024712e-07	1.37601466061624e-06	9.12038422536619e-07	6.81022235068171e-07	1.18646346136871e-06	8.08160638804428e-07	6.85416012471626e-07	1.4445797717636e-06	1.04554797966772e-06	7.67789586972207e-07	6.0366079164383e-07	8.28608921595063e-07	8.43214069430754e-07	1.37372360879056e-06	4.73579135315121e-07	6.46143883837289e-07	9.27258257504254e-07	8.11927795735224e-07	6.11550236949345e-07	7.52071822288516e-07
P25516	1.00999009113302e-05	3.55736696891365e-06	3.51265429479826e-06	6.61393965381172e-06	9.51352939476087e-06	6.54343585636544e-06	5.67197527467339e-06	2.97961202280317e-06	3.5026651022036e-06	5.44787967502523e-06	8.53416366688059e-06	2.72122912324202e-06	4.36921027212474e-06	5.32192660318568e-06	1.58073241410016e-06	3.80248130128901e-06	2.63980519883632e-06	2.30014091041825e-06	3.13594140149552e-06	2.92897094162726e-06	1.54030614424304e-06	2.41208907778494e-06	4.01075500726642e-06	1.83403783386956e-06	2.4921354954143e-06	1.07916092473076e-06	9.11141150772512e-07	1.05484618719218e-06	1.13323323242559e-06	1.14799542728607e-06	1.12813306197031e-06
P0A7I7	NaN	2.41268095224932e-07	2.85005959042544e-07	NaN	NaN	4.97639468863368e-07	5.65103871545956e-07	3.02986307722136e-07	4.20779249910568e-07	5.05718355800277e-07	NaN	3.17221639838599e-07	5.4081900667665e-07	NaN	5.47836949729141e-07	5.9401108910971e-07	5.16466829769854e-07	3.59315345808974e-07	4.70079584999091e-07	6.35022656546476e-07	4.89813236830638e-07	3.58220483033505e-07	NaN	3.97204950424665e-07	5.38508170921558e-07	6.11984432154494e-07	4.52080684203246e-07	5.50288282217432e-07	7.62759082001486e-07	4.29244551147244e-07	4.70739313001173e-07
P0ACV4	2.63416824173073e-06	4.8513161013505e-07	4.65236363496067e-07	NaN	NaN	NaN	NaN	4.00938295083722e-07	2.95374650498756e-07	NaN	NaN	4.42642647737773e-07	NaN	NaN	3.40118626516387e-07	NaN	2.89197651744547e-07	3.18494251590976e-07	NaN	3.00033992879538e-07	3.17031036197525e-07	3.28448194297827e-07	NaN	3.50851278617548e-07	NaN	2.66151546189552e-07	3.2882530257694e-07	1.03455897993032e-07	3.78236727653459e-07	3.27058848297894e-07	4.19879609623616e-07
P0AB58	1.73299880122269e-07	NaN	NaN	NaN	1.88244730411558e-07	NaN	NaN	NaN	NaN	NaN	1.39787185534164e-07	NaN	NaN	1.10551636651749e-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.81730737858728e-08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P08244	8.56083292833959e-07	7.5256577320655e-07	7.68337938985757e-07	1.15566290800396e-06	1.13762011899078e-06	1.19815348108664e-06	1.41519020382492e-06	1.77882357336679e-06	1.28148098498734e-06	1.39351007504518e-06	1.4881447894123e-06	9.88335154021924e-07	1.45597302578449e-06	1.55290580733256e-06	1.90833158353919e-06	1.54075915526144e-06	2.03367481434693e-06	2.44784188820751e-06	1.759923715084e-06	2.26744419404419e-06	2.36138850925939e-06	1.84269882080612e-06	2.13927732390189e-06	1.53584417677624e-06	2.16777983473565e-06	3.36685222874386e-06	2.42144341260846e-06	2.66954842247202e-06	2.76007707265247e-06	2.57754128055633e-06	2.77995896608922e-06
P08245	NaN	9.75665930635181e-08	8.06319379924284e-08	NaN	NaN	NaN	NaN	1.26162706176325e-07	9.54536404804143e-08	NaN	NaN	7.77643795215706e-08	NaN	NaN	1.35238315277761e-07	NaN	1.35703789180035e-07	1.59169111281932e-07	NaN	1.66706891447599e-07	1.54808277279883e-07	1.03326233825935e-07	NaN	1.20972233888872e-07	NaN	2.00862625866574e-07	1.15482032272935e-07	1.79998024954823e-07	2.39489246600412e-07	1.34400293915648e-07	1.24734604531877e-07
P0ADA7	NaN	1.09530153618508e-05	6.28244482724024e-06	NaN	NaN	NaN	NaN	7.55548624410907e-06	1.41494762118968e-05	NaN	NaN	4.10874357672773e-06	NaN	NaN	5.09074939376125e-06	NaN	5.13457573481322e-06	3.21901535470519e-06	NaN	1.33747901891803e-05	4.40345873862837e-06	6.49256994661429e-06	NaN	3.55797166763554e-06	NaN	1.35478116792848e-05	1.70228956237353e-05	7.21905652993337e-06	1.39759879123114e-05	3.5149433811251e-06	1.45248018227492e-05
P76034	1.10566732460122e-06	1.80222764874387e-07	1.72755076268806e-07	NaN	1.29542163585008e-06	1.55974536233339e-07	1.83831318305155e-07	1.75798999167552e-07	1.59512375141577e-07	NaN	1.08528798329764e-06	1.75929066747236e-07	NaN	1.02777295339644e-06	1.86080997878092e-07	NaN	1.56604153790974e-07	1.57355273841763e-07	NaN	2.01219827384389e-07	1.48308693119278e-07	1.66663823754654e-07	8.62826087240574e-07	1.37078170703209e-07	1.22279473057362e-07	2.1781610241453e-07	1.8600128046709e-07	1.45642658246741e-07	2.34268398198367e-07	1.68756857791631e-07	2.88677785173544e-07
P77334	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P30850	1.42454111680065e-06	9.78446737440738e-07	1.09732495511508e-06	2.00850874435949e-06	1.74381746389002e-06	1.94271605883521e-06	2.26486982150708e-06	1.09445749151481e-06	1.34013585781063e-06	2.30817435828267e-06	1.86221892089574e-06	1.25303596056272e-06	2.40855326720707e-06	2.14365510833007e-06	1.71214645792342e-06	2.46343523604194e-06	1.46375852133507e-06	1.8260857187973e-06	2.8063004082843e-06	1.62523854470953e-06	1.72052188687801e-06	1.49749656645793e-06	2.40999548739138e-06	1.69026288572206e-06	3.23901512502918e-06	1.60527780173119e-06	1.98355675611079e-06	2.23325829878981e-06	2.1733842334726e-06	2.26710822120981e-06	2.09632485223006e-06
P76035	NaN	5.7840781555571e-08	7.48016658483615e-08	NaN	NaN	NaN	NaN	1.26071630409368e-07	1.49339112977151e-07	NaN	NaN	8.79121173723229e-08	1.35539268651672e-07	NaN	1.34111161585909e-07	NaN	1.4432147506227e-07	1.45945651234248e-07	NaN	1.75291912239889e-07	1.32164564720354e-07	1.10321387453332e-07	NaN	1.11824959670276e-07	NaN	6.66956981641907e-08	6.71105172712151e-08	1.24558137162359e-07	2.00710708140482e-07	1.27515381313088e-07	NaN
P0AEK4	3.64310665821376e-05	6.45059782103744e-06	6.1264789993863e-06	3.43235073496867e-05	3.39160545878313e-05	3.5840373412924e-05	3.53169765868134e-05	5.2544342230144e-06	6.33046005820062e-06	3.6004621711103e-05	3.32138479016796e-05	6.42278423550805e-06	3.58088031661922e-05	3.49597284593806e-05	8.06303355143088e-06	3.62573372254661e-05	7.86652083488696e-06	6.67148914122569e-06	3.80211940958739e-05	7.72317689288677e-06	7.28252673704334e-06	4.9606884833067e-06	4.48484893309335e-05	7.17544738289756e-06	4.09393266423084e-05	5.84279926489266e-06	5.62482084195799e-06	8.88372376475771e-06	6.73844942422833e-06	6.10781846703331e-06	6.76884902889696e-06
P0AAH8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.06978169572582e-07	NaN	NaN	NaN	5.45317017111237e-08	NaN	NaN	NaN	NaN	1.9087089607129e-07	NaN	5.29416378152388e-08	NaN	NaN	7.75897533266515e-08
P0AAH4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q47622	2.1491399187056e-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.6444367254343e-07	NaN	1.2554797260645e-07	1.65802295297002e-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.21974131654001e-07	NaN	NaN	NaN	6.5829988723444e-08	NaN	NaN	NaN	NaN
P0ACV8	1.06058117692714e-06	4.86932513590077e-07	5.07693324545186e-07	NaN	NaN	NaN	NaN	7.75396310924876e-07	6.8797505811302e-07	NaN	NaN	5.22105305701308e-07	NaN	NaN	6.89274610312089e-07	NaN	6.34479599426127e-07	6.63474430534097e-07	NaN	5.00754467824107e-07	5.24541220234227e-07	5.16002177114135e-07	NaN	4.83084574018884e-07	NaN	9.9753173871369e-07	6.02028773585908e-07	5.39409378061289e-07	1.02866169979383e-06	5.14719466124208e-07	4.78776902246763e-07
P78061	NaN	1.1029209468323e-06	1.22092188616918e-06	NaN	NaN	NaN	NaN	5.75485002455623e-07	6.18731241445472e-07	NaN	NaN	1.09157371017297e-06	NaN	NaN	1.22960391134371e-07	NaN	2.87236385302383e-07	1.90335909447418e-07	NaN	4.60729449186227e-07	1.60774171245483e-07	2.80511378567846e-07	NaN	5.72836356638152e-07	NaN	1.43238841216875e-07	1.12722583430555e-07	2.16426407601453e-07	6.85751568071314e-08	1.61446950583975e-07	1.20361210383541e-07
P76038	NaN	2.41956675957737e-07	5.9362331066853e-07	1.37474323661185e-06	NaN	1.11665198432242e-06	1.00585910962175e-06	NaN	9.39440596431123e-08	1.13283748587866e-06	NaN	8.76122978449143e-07	NaN	NaN	6.77902434671081e-08	NaN	1.24589946007772e-07	6.9432917064536e-08	NaN	3.00053198742608e-07	6.69018780167928e-08	2.22148543671145e-07	NaN	4.00927460791742e-07	NaN	1.41056532001659e-07	5.22852430984286e-08	2.01614088587551e-07	NaN	7.96439889950431e-08	NaN
P0A9U6	NaN	2.08163252301643e-07	3.20906887929662e-07	NaN	NaN	6.72105557026222e-07	NaN	2.0150513439099e-07	1.53080248095682e-07	NaN	NaN	4.6782329475999e-07	8.28528360386777e-07	NaN	1.58063177537767e-07	NaN	2.37095321008271e-07	2.35252765627088e-07	NaN	3.86133877022348e-07	1.71714820243101e-07	4.07129377332961e-07	NaN	2.86801653005132e-07	NaN	2.14353264651543e-07	2.84078945858347e-07	1.96812487567494e-07	1.44672457035631e-07	3.44806623006715e-07	1.93729540787089e-07
P23883	NaN	1.1358933703839e-07	5.53101709667234e-07	4.97729936789995e-07	NaN	6.62577166791358e-07	9.7224876743136e-07	6.18176768216426e-08	6.11052069360066e-08	8.70788797928678e-07	NaN	1.19420424070898e-06	4.93414077308583e-07	NaN	1.17425261397597e-07	NaN	1.00381182448939e-07	1.3621334066818e-07	NaN	3.23868468949408e-07	1.37863613588451e-07	7.03060590463652e-07	NaN	7.31033694197792e-07	7.3254270449897e-07	1.2058611085067e-07	1.70923507707419e-07	2.04874216217405e-07	NaN	2.81669424473611e-07	NaN
P37906	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P50457	NaN	5.2596974436522e-08	1.20282626972203e-07	3.6026973609209e-07	NaN	9.19302109627642e-07	NaN	1.00228881535496e-07	NaN	1.02122230747967e-06	NaN	2.75016275595697e-07	NaN	NaN	NaN	6.37749633326752e-07	NaN	NaN	NaN	9.27835244911694e-08	NaN	1.67426238318948e-07	NaN	1.46057090181585e-07	NaN	NaN	5.7569677809653e-08	7.3406025926551e-08	NaN	1.14289549202492e-07	8.74003401999452e-08
P37344	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P0AFM6	7.55238260966062e-06	1.13711162860348e-06	1.24762985482914e-06	1.08123912168669e-05	8.59454690037267e-06	1.08330384664198e-05	1.01116574990751e-05	1.41677463077344e-06	1.75713021663637e-06	1.12009266612073e-05	7.55988019448588e-06	1.32318953669623e-06	9.0331923330431e-06	7.24795047413805e-06	2.22620905238599e-06	8.08391057913283e-06	1.5347008963794e-06	1.65109916489196e-06	7.43825275720863e-06	1.3554153744391e-06	2.61809349305716e-06	1.85201933885461e-06	5.62630841934701e-06	1.38352054904204e-06	6.76865476975902e-06	1.26476542170417e-06	1.60134603802114e-06	1.65476282534017e-06	1.32801896458348e-06	1.97234896289923e-06	1.66715811217562e-06
P0AFM9	2.21807744360906e-07	2.63011356056949e-07	4.05820810027899e-07	2.58553104087807e-06	2.65736546726394e-07	NaN	3.18348603605473e-06	2.90736617066503e-07	4.64250802428235e-07	NaN	2.83650239329044e-07	3.40515310814189e-07	1.45007415625958e-06	2.27997025793844e-07	7.04430801918601e-07	NaN	3.73175514859024e-07	4.69257299037285e-07	NaN	3.36237044766488e-07	4.73230720057245e-07	6.12104532943385e-07	1.88949201468966e-07	2.60687962188854e-07	NaN	3.17643222300629e-07	7.92322530030033e-07	5.63027585292786e-07	5.12089663329588e-07	6.32391972383266e-07	6.24365336018774e-07
P23857	4.71029476727216e-06	2.69685292390284e-07	2.88586375131017e-07	NaN	NaN	NaN	NaN	2.44310744860488e-07	7.69404911394731e-07	NaN	NaN	5.67958823634356e-07	NaN	NaN	8.80367416570024e-07	NaN	8.81361441873074e-07	6.59983281052481e-07	NaN	4.47995961970817e-07	5.42686686864423e-07	9.267720839916e-07	NaN	5.26931630804954e-07	NaN	2.46763261839496e-07	2.21747866124588e-07	2.05937301314097e-07	1.92999652441408e-07	2.65451630343137e-07	6.38616859807173e-08
P77615	NaN	6.35612984127154e-08	6.02864654896885e-08	NaN	NaN	NaN	NaN	7.24963104972781e-08	7.74043043822383e-08	NaN	NaN	5.34014221195579e-08	NaN	NaN	7.58815967550467e-08	NaN	7.6727120510113e-08	8.7473773324282e-08	NaN	NaN	5.63043155731071e-08	8.73917694321923e-08	NaN	NaN	NaN	6.21687592136196e-08	5.85255653171441e-08	5.20557335679959e-08	NaN	7.43740558918492e-08	NaN
P76046	2.39847235366665e-06	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.75946678523671e-06	NaN	NaN	NaN	NaN	NaN	5.59258097598887e-08	NaN	NaN	NaN	6.49005397855212e-08	NaN	1.99938949964524e-06	NaN	NaN	NaN	NaN	5.4429956950607e-08	NaN	NaN	9.00176224122697e-08
P0A8R7	NaN	1.03393045418017e-07	9.34295063086584e-08	NaN	NaN	NaN	NaN	6.90809692364139e-08	NaN	NaN	NaN	8.35511060645616e-08	NaN	NaN	NaN	NaN	6.01851257706489e-08	5.89789722480778e-08	NaN	5.69261781394796e-08	5.70286094091863e-08	6.71115420219736e-08	NaN	7.54977479473462e-08	NaN	NaN	5.74434285162107e-08	NaN	NaN	NaN	1.30019826031603e-07
P07604	4.15939840037942e-07	3.74932209012005e-07	3.65855625040353e-07	2.63179325563198e-07	3.73671576593486e-07	1.87640852634229e-07	2.28266758330367e-07	2.18490764928354e-07	1.67147791260684e-07	2.28589550217993e-07	3.55606925907106e-07	3.44729557318324e-07	NaN	3.14395369048761e-07	2.67477596625415e-07	2.24941053615992e-07	2.36184025489689e-07	1.57296762956596e-07	2.18807128242646e-07	2.58799004868248e-07	2.93319943247984e-07	1.854573427645e-07	2.97538383032222e-07	4.16154211740488e-07	1.89019245953898e-07	2.19565556909372e-07	2.53526616845329e-07	2.3442798190543e-07	2.43971619735064e-07	2.23122167675548e-07	2.24714785042672e-07
P0A862	5.17057099650166e-05	3.94280797926322e-05	4.76672164098647e-05	9.65554620304409e-05	6.2691936105288e-05	9.88660497222963e-05	0.000101802229698931	5.5521358593589e-05	3.8217839278143e-05	0.00010026383702103	6.24976530515273e-05	4.54566868704422e-05	0.000100897648674491	5.93636625945659e-05	4.90118830885957e-05	8.9732239584956e-05	4.15553728088873e-05	5.19655259903092e-05	9.08080788744894e-05	4.59121150212745e-05	4.46786180291069e-05	4.56197425672713e-05	6.2646849957614e-05	4.85998420450439e-05	9.21161160219786e-05	7.63515507320787e-05	5.82111324340196e-05	4.37539071489972e-05	6.31983355590747e-05	4.93244148733009e-05	5.89781075435869e-05
P51981	1.49383087723281e-06	4.05123825758045e-07	4.49535755108102e-07	NaN	1.33139997913911e-06	NaN	NaN	2.64233568882196e-07	3.10142289124537e-07	NaN	8.79733392618357e-07	2.92061959216899e-07	NaN	6.25318702171728e-07	1.88717732407246e-07	NaN	2.68079368640033e-07	1.79121323123792e-07	NaN	3.91569136271158e-07	1.83703789266624e-07	NaN	4.61176945795758e-07	2.28120672997494e-07	NaN	1.21181286091184e-07	NaN	1.81450907920301e-07	1.5846305330814e-07	NaN	1.23940977022333e-07
P0ACV6	5.51097644337713e-07	1.75111377127031e-07	1.66997380126533e-07	NaN	5.92359520557301e-07	NaN	NaN	2.32675815631811e-07	6.79967716280375e-08	NaN	3.2888734508686e-07	1.46492240419847e-07	NaN	3.62752275203668e-07	NaN	NaN	5.78870762020527e-08	5.22307168255133e-08	NaN	6.27071429235496e-08	6.46908757803404e-08	NaN	2.26135209427838e-07	9.84126986994519e-08	NaN	1.23471808986493e-07	7.90500933081795e-08	NaN	1.0419370807635e-07	NaN	NaN
P76049	NaN	1.72489473567506e-07	8.11157780043842e-08	NaN	NaN	NaN	NaN	5.68312785807808e-08	NaN	NaN	NaN	1.09738140311647e-07	NaN	NaN	NaN	NaN	1.00301939360367e-07	6.17679911076926e-08	NaN	6.59913455085196e-08	7.60699131524273e-08	NaN	NaN	NaN	NaN	NaN	NaN	8.49936534804888e-08	NaN	NaN	8.10344344319044e-08
P77348	2.56135612601153e-06	2.66930969459066e-07	2.82852870989341e-07	NaN	2.33064185471054e-06	3.27894760290689e-07	NaN	1.92465864520569e-07	1.57980916321126e-07	NaN	1.8971908769599e-06	2.4130230356262e-07	NaN	1.25924201511608e-06	1.88194411050315e-07	2.29344680624943e-07	2.59877708972802e-07	2.04749090826826e-07	NaN	1.88486340168979e-07	1.81321243753205e-07	1.91232633089026e-07	9.69956007327772e-07	1.77745193507355e-07	1.6478893963766e-07	1.0873671288045e-07	1.2253395709235e-07	1.1945532869824e-07	1.21127117696143e-07	1.31289333406343e-07	8.46648581457738e-08
P0AEB5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P0AAC0	9.66665121102454e-06	5.09457048715083e-06	4.29809597820666e-06	1.30542184516906e-06	8.69146199012745e-06	1.20388303465213e-06	4.17903253237767e-07	4.15378357934656e-06	3.26517959511791e-06	1.39591203109478e-06	6.73977524494095e-06	3.1987808278424e-06	1.9020974351472e-06	5.50332790046814e-06	3.50250933096358e-06	1.18989700216043e-06	2.90215925432701e-06	2.04626217967975e-06	5.69149083094611e-07	3.10775832094589e-06	3.14635148429232e-06	3.18046953604447e-06	4.52693101490121e-06	2.81139321909081e-06	7.56951477378652e-07	2.9433219204719e-06	2.74483999556738e-06	2.56068850857081e-06	3.26505676480296e-06	2.36810393916489e-06	2.70758689149552e-06
P0A9E5	4.19039512690535e-06	5.24592582899611e-07	7.60475538791475e-07	1.11441934792926e-05	4.79966195284044e-06	1.23416354692577e-06	NaN	8.74828279499504e-07	7.11078208318686e-07	1.92240530857799e-05	5.74496147315894e-06	7.81816108918805e-07	NaN	5.32539863911148e-06	8.02151001453283e-07	3.16072779009102e-06	8.85957541010267e-07	1.49017472705502e-06	NaN	1.16266533266858e-06	1.19691462448505e-06	1.05333290166439e-06	5.66203516582982e-06	9.2750367603401e-07	1.55526022214379e-06	5.67851286289763e-07	1.10473542445948e-06	1.07835808591401e-06	6.62755791721514e-07	1.17145512948739e-06	6.45843935851527e-07
P0AFH0	NaN	5.56691038598032e-08	NaN	NaN	NaN	NaN	NaN	5.64442065712162e-08	NaN	NaN	NaN	1.12107343570191e-07	NaN	NaN	9.99342514293918e-08	NaN	6.60491143249979e-08	6.84577356450903e-08	NaN	6.99285474378696e-08	9.45203456083406e-08	NaN	NaN	9.13230935279841e-08	NaN	NaN	NaN	1.00426105467461e-07	NaN	NaN	1.26794658918352e-07
