GENENAME,ID
b1784,P76235
b1786,P76237
b1787,P64483
b1792,P76243
b1793,P64493
b1794,P76245
b1797,P64488
b1800,P76251
b1804,P09155
b1805,P69451
b1806,P0AA91
b1807,P76256
b1809,P0AEB7
b1810,P64490
b1811,P67338
b1812,P05041
b1813,P43337
b1814,P16095
b1816,P0AEC0
b1817,P69797
b1818,P69801
b1819,P69805
b1822,P36999
b1823,P0A9Y6
b1825,P64499
b1827,P76268
b1829,P23894
b1830,P23865
b1831,P45577
b1832,P76270
b1834,P76272
b1835,P76273
b1836,P64503
b1839,P64506
b1841,P0AA57
b1842,P0ABS8
b1844,P0AEK0
b1845,P24555
b1846,P33218
b1847,P33219
b1848,P0ACY9
b1849,P33221
b1850,P0A955
b1851,P0ADF6
b1852,P0AC53
b1853,P46118
b1854,P21599
b1855,P24205
b1857,P39172
b1858,P0A9X1
b1860,P0A812
b1861,P0A809
b1864,P0A8A0
b1865,P0AFC0
b1866,P21889
b1867,P0ADI7
b1868,P37348
b1870,P76290
b1871,P76291
b1872,P46923
b1874,P67826
b1875,P52007
b1876,P11875
b1877,P76296
b1878,P76297
b1879,P76298
b1881,P0A9H9
b1882,P0AE67
b1883,P07330
b1884,P07364
b1885,P07018
b1886,P07017
b1887,P0A964
b1888,P07363
b1889,P0AF06
b1890,P09348
b1891,P0ABY7
b1892,P0A8S9
b1895,P46888
b1896,P31677
b1897,P31678
b1900,P0AAF3
b1901,P02924
b1902,P0A9A2
b1904,P76308
b1905,P0A998
b1906,P46887
b1908,P0AD05
b1912,P0ABF8
b1913,P0A8G0
b1914,P0AED5
b1915,P0AD07
b1916,P07026
b1917,P37774
b1918,P0AFT2
b1919,P76316
b1920,P0AEM9
b1921,P52627
b1922,P0AEM6
b1923,P04949
b1924,P24216
b1925,P26608
b1927,P26612
b1928,P31063
b1929,P31064
b1930,P0AA31
b1931,P76318
b1937,P0A8T5
b1938,P25798
b1939,P0ABZ1
b1940,P31068
b1941,P52612
b1942,P52613
b1943,P52614
b1944,P0ABX8
b1945,P06974
b1946,P15070
b1947,P22586
b1948,P0AC05
b1953,P64519
b1955,P76329
b1956,P76330
b1957,P64517
b1958,P46125
b1960,P09184
b1961,P0AED9
b1962,P46144
b1967,P31658
b1968,P76339
b1969,P76340
b1970,P76341
b1971,P76342
b1972,P76343
b1973,P76344
b1976,P76346
b1981,P76350
b1982,P0AE12
b1983,P0A8A2
b1987,Q47083
b1990,P39176
b1991,P36562
b1993,P0AE76
b2000,P39180
b2001,P76361
b2007,P0A8M6
b2009,P33012
b2011,P04995
b2012,P33014
b2013,P33015
b2014,P0AA47
b2016,P0AD12
b2017,P69346
b2019,P60757
b2020,P06988
b2021,P06986
b2022,P06987
b2023,P60595
b2024,P10371
b2025,P60664
b2026,P06989
b2027,P76372
b2028,P76373
b2029,P00350
b2032,P37751
b2033,P37750
b2034,P37749
b2036,P37747
b2038,P37745
b2039,P37744
b2040,P37760
b2041,P37759
b2042,P0AAB6
b2049,P24174
b2060,P76387
b2063,P76389
b2064,P28249
b2065,P28248
b2066,P0A8F4
b2068,P04395
b2069,P36928
b2074,P76397
b2075,P76398
b2078,P30847
b2079,P69228
b2080,P76402
b2081,P76403
b2086,P76407
b2091,P0A9S3
b2092,P69831
b2093,P37188
b2094,P69828
b2095,P0C8J8
b2096,P0C8J6
b2097,P0A991
b2101,P0ACM5
b2103,P76422
b2104,P76423
b2105,P64530
b2107,P64534
b2113,P0AF08
b2114,P00959
b2124,P33355
b2125,P0AFT5
b2126,P0AD14
b2129,P33360
b2131,P33362
b2132,P33363
b2133,P06149
b2134,P0AFI5
b2137,P33368
b2140,P33371
b2142,P0AD19
b2143,P0ABF6
b2144,P0AFY2
b2146,P76440
b2148,P23200
b2149,P0AAG8
b2150,P0AEE5
b2151,P25748
b2153,P0A6T5
b2154,P33018
b2155,P17315
b2156,P25737
b2157,P0ACR4
b2159,P0A6C1
b2165,P33025
b2167,P20966
b2168,P0AEW9
b2169,P69811
b2171,P0A6N8
b2172,P33029
b2173,P33030
b2174,P76445
b2175,P0AFV4
b2176,P76446
b2177,P33913
b2180,P33916
b2181,P0AD21
b2182,P28246
b2183,P0AA43
b2185,P68919
b2186,P33920
b2187,P0AD24
b2188,P0AD27
b2193,P31802
b2197,P69490
b2206,P33937
b2209,P23827
b2210,P33940
b2211,P33941
b2212,P05050
b2215,P06996
b2216,P39838
b2217,P0DMC7
b2218,P0DMC5
b2220,Q06065
b2229,P76466
b2231,P0AES4
b2232,P17993
b2234,P00452
b2235,P69924
b2239,P09394
b2240,P08194
b2241,P0A9C0
b2242,P13033
b2243,P0A996
b2249,P77808
b2250,P76471
b2251,P52006
b2252,P45565
b2253,P77690
b2254,P77757
b2255,P77398
b2259,P37590
b2260,P37353
b2261,P29208
b2262,P0ABU0
b2264,P17109
b2265,P38051
b2266,P0AEH5
b2267,P0AEH3
b2268,P0A8V0
b2276,P0AFF0
b2277,P0AFE8
b2278,P33607
b2279,P0AFE4
b2280,P0AFE0
b2281,P0AFD6
b2282,P0AFD4
b2283,P33602
b2284,P31979
b2285,P0AFD1
b2286,P33599
b2287,P0AFC7
b2288,P0AFC3
b2289,P36771
b2290,P0A959
b2291,P76491
b2293,P77625
b2294,P0A8W8
b2295,P0A8D9
b2296,P0A6A3
b2297,P0A9M8
b2299,P65556
b2300,P67095
b2301,P77544
b2302,P77526
b2303,P0AC19
b2304,P77775
b2306,P07109
b2307,P0AEU3
b2308,P52094
b2309,P0AEU0
b2310,P09551
b2311,P0AG03
b2312,P0AG16
b2313,P08550
b2314,P09549
b2315,P08192
b2316,P0A9Q5
b2318,P07649
b2319,P08390
b2320,P05459
b2321,P15286
b2323,P0A953
b2324,P77182
b2325,P64540
b2328,P0C0T5
b2329,P12008
b2330,P39199
b2331,P0A8B2
b2335,P76501
b2340,P76502
b2341,P77399
b2342,P76503
b2343,P0AD33
b2344,P10384
b2346,P76506
b2347,P37327
b2349,P37326
b2351,P77293
b2352,P76507
b2365,P08555
b2366,P00926
b2369,P0ACZ4
b2379,P77434
b2381,P0AE39
b2383,P77439
b2385,P76524
b2388,P0A6V8
b2393,P0AFF2
b2394,P0CF93
b2395,P23842
b2398,P0AD37
b2399,P27238
b2400,P04805
b2411,P15042
b2412,P77173
b2414,P0ABK5
b2415,P0AA04
b2416,P08839
b2417,P69783
b2418,P40191
b2421,P16703
b2422,P16676
b2423,P0AEB0
b2424,P16701
b2425,P16700
b2426,P37440
b2427,P77245
b2428,P76535
b2429,P77272
b2430,P77619
b2431,P76536
b2432,P76537
b2434,P76539
b2435,P36548
b2436,P36553
b2439,P76541
b2440,P19636
b2441,P0AEJ6
b2449,P76549
b2450,P76550
b2457,P0ABF4
b2463,P76558
b2464,P0A867
b2465,P33570
b2467,P37128
b2468,P37127
b2470,P24177
b2471,P24178
b2472,P0AED7
b2473,P76561
b2474,P76562
b2475,P64429
b2476,P0A7D7
b2477,P0A903
b2478,P0A6L2
b2479,P0A9I3
b2480,P0AE52
b2487,P77329
b2491,P71229
b2494,P66948
b2495,P76569
b2496,P69931
b2497,P0AGM7
b2498,P0A8F0
b2499,P08178
b2500,P08179
b2501,P0A7B1
b2502,P0AFL6
b2507,P04079
b2508,P0ADG7
b2509,P04994
b2510,P76575
b2511,P0A6P5
b2512,P77774
b2513,P76576
b2514,P60906
b2515,P62620
b2516,P27434
b2517,P36979
b2518,P0A763
b2520,P76578
b2521,P31142
b2522,P0AFZ1
b2523,P37095
b2524,P0C0L9
b2525,P0A9R4
b2526,P0A6Z1
b2527,P0A6L9
b2528,P0AAC8
b2529,P0ACD4
b2530,P0A6B7
b2531,P0AGK8
b2532,P0AE01
b2533,P0ADG4
b2535,P54901
b2545,P77360
b2548,P77269
b2551,P0A825
b2552,P24232
b2553,P0A9Z1
b2554,P0AFU4
